cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2024-38125,Kernel Streaming WOW Thunk Service Driver Elevation of Privilege Vulnerability,2024-08-13T17:30:06.535Z,7.8,Microsoft,Windows 10 Version 1809,,Kernel Streaming WOW Thunk Service Driver,,,WOW Thunk Service Driver,,,Exploit the driver,,,Local,Lower privilege required,Elevation of Privilege,Gain higher privileges on the system
CVE-2024-21354,Microsoft Message Queuing (MSMQ) Elevation of Privilege Vulnerability,2024-02-13T18:02:13.295Z,7.8,Microsoft,Windows 10 Version 1809,Microsoft,Message Queuing (MSMQ),,,,,,,,,,,Elevation of Privilege,Elevation of Privilege
CVE-2024-33022,Memory corruption while allocating memory in HGSL driver.,2024-08-05T14:21:42.398Z,8.4,"Qualcomm, Inc.",Snapdragon,,HGSL driver,,,Memory allocation in HGSL driver,Memory corruption while allocating memory,Allocating memory in HGSL driver,,No,,,,Memory corruption,Potential system instability or exploit due to corrupted memory allocation
CVE-2024-31477,Multiple authenticated command injection vulnerabilities exist in the command line interface. Successful exploitation of these vulnerabilities result in the ability to execute arbitrary commands as a privileged user on the underlying operating system.,2024-05-14T22:32:06.557Z,7.2,Hewlett Packard Enterprise (HPE),Aruba InstantOS and Aruba Access Points running ArubaOS 10,,,,underlying operating system,command line interface,improper input validation allowing command injection,exploitation of the authenticated command injection vulnerabilities,execute arbitrary commands as a privileged user,No,Requires access to the command line interface,Local,Authenticated,Command Injection,Execution of arbitrary commands as a privileged user
CVE-2024-22182,"A remote, unauthenticated attacker may be able to send crafted messages to the web server of the Commend WS203VICM causing the system to restart, interrupting service.",2024-03-01T20:52:59.597Z,8.6,Commend,WS203VICM,Commend,WS203VICM,,,web server of the Commend WS203VICM,does not handle crafted messages properly,sending crafted messages to the web server,send crafted messages to the web server,No,,Remote,Unauthenticated,Denial of Service,system restart and service interruption
CVE-2024-32058,A vulnerability has been identified in Simcenter Femap (All versions < V2406). The affected application is vulnerable to memory corruption while parsing specially crafted IGS files. This could allow an attacker to execute code in the context of the current process. (ZDI-CAN-21563),2024-05-14T10:02:31.096Z,7.8,Siemens,Simcenter Femap,Siemens,Simcenter Femap,All versions < V2406,,Parsing of specially crafted IGS files,Improper handling of crafted input files leading to memory corruption,Parsing specially crafted IGS files,Execute code in the context of the current process,Yes,During parsing of IGS files,Local,Not specified,Memory corruption,Execute arbitrary code in the context of the current user process
CVE-2024-43241,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in azzaroco Ultimate Membership Pro allows Reflected XSS.This issue affects Ultimate Membership Pro: from n/a through 12.6.,2024-08-18T21:27:01.320Z,7.1,azzaroco,Ultimate Membership Pro,azzaroco,Ultimate Membership Pro,from n/a through 12.6,,Input field during web page generation,Improper Neutralization of Input,User input not properly neutralized,Inject malicious scripts into input fields,"Yes, victim needs to interact with the crafted link or page",,Remote,None,Cross-site Scripting (XSS),Execution of malicious scripts in the context of the user's session
CVE-2024-6425,"Incorrect Provision of Specified Functionality vulnerability in MESbook 20221021.03 version. An unauthenticated remote attacker can register user accounts without being authenticated from the route ""/account/Register/"" and in the parameters ""UserName=<RANDOMUSER>&Password=<PASSWORD>&ConfirmPassword=<PASSWORD-REPEAT>"".",2024-07-01T12:56:20.984Z,9.1,MESbook,MESbook,MESbook,MESbook,20221021.03,,/account/Register/,Incorrect Provision of Specified Functionality,Registering user accounts without authentication,Register user accounts,No,,Remote,Unauthenticated,Incorrect Provision of Specified Functionality,Allows unauthorized user account registration
CVE-2024-2569,A vulnerability was found in SourceCodester Employee Task Management System 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin-manage-user.php. The manipulation leads to execution after redirect. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-257072.,2024-03-17T23:31:04.482Z,7.3,SourceCodester,Employee Task Management System,SourceCodester,Employee Task Management System,1,,/admin-manage-user.php,manipulation of unknown functionality,execution after redirect,Manipulate functionality leading to execution after redirect,No,,Remote,Unauthenticated,Execution after redirect,Potential unauthorized execution of tasks
CVE-2024-37321,SQL Server Native Client OLE DB Provider Remote Code Execution Vulnerability,2024-07-09T17:02:49.778Z,8.8,Microsoft,Microsoft SQL Server 2017 (GDR),Microsoft,SQL Server Native Client OLE DB Provider,,,SQL Server Native Client OLE DB Provider,,,Remote code execution,,,Remote,,Remote Code Execution,Potential unauthorized execution of code on the affected server
CVE-2024-31112,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Stephanie Leary Convert Post Types allows Reflected XSS.This issue affects Convert Post Types: from n/a through 1.4.,2024-03-31T18:56:40.660Z,7.1,Stephanie Leary,Convert Post Types,Stephanie Leary,Convert Post Types,from n/a through 1.4,,Web Page Generation,Improper Neutralization of Input,,Execute Reflected XSS,Yes,,Remote,Unauthenticated,Cross-site Scripting,Reflected XSS
CVE-2024-25048,"IBM MQ Appliance 9.3 CD and LTS are vulnerable to a heap-based buffer overflow, caused by improper bounds checking. A remote authenticated attacker could overflow a buffer and execute arbitrary code on the system or cause the server to crash. IBM X-Force ID: 283137.",2024-04-27T12:07:33.519Z,7.5,IBM,MQ Appliance,IBM,IBM MQ Appliance,9.3 CD and LTS,,heap-based buffer,improper bounds checking,remote authenticated attacker overflows the buffer,overflow a buffer and execute arbitrary code or cause a crash,No,,Remote,Authenticated,Heap-based buffer overflow,Execute arbitrary code or cause the server to crash
CVE-2024-0840,"The Grandstream UCM Series IP PBX before firmware version 1.0.20.52 is affected by a parameter injection vulnerability in the HTTP interface. A remote and authenticated attacker can execute arbitrary code by sending a crafted HTTP request. Authentication may be possible using a default user and password. Affected models are the UCM6202, UCM6204, UCM6208, and UCM6510.",2024-04-29T18:42:57.112Z,8.8,Grandstream,UCM Series,Grandstream,UCM Series IP PBX,before firmware version 1.0.20.52,,HTTP interface,parameter injection vulnerability,sending a crafted HTTP request,execute arbitrary code,No,,Remote,Authenticated (possible with default user and password),Parameter injection,Arbitrary code execution
